OBJECTID,Is 24 Hours,Car Park Count,Has Carpark Cost,Has Tourist Attraction,Latitude,Longitude,Number Of Connectors,Has Charging Cost,x,y,Combined Latitude,Combined Longitude
181031,1,1,0,1,-43.208364,171.715379,2,1,1495646.604,5215245.304,747801.697818,2607708.5096894996
180610,1,1,0,1,-44.002983,170.475634,2,1,1397618.964,5124697.654,698787.4805085,2562434.064817
183160,1,1,0,0,-43.52414449,172.3662733,4,1,1548787.158,5180782.125,774371.816927755,2590477.24563665
181528,1,1,0,1,-44.092764,171.242916,2,1,1459346.291,5116323.058,729651.099118,2558247.150458
188744,1,1,0,0,-40.076095,175.37971,2,1,1802915.769,5561083.126,901437.8464525001,2780629.252855
180928,1,1,0,1,-38.357157,177.535008,3,1,1996318.626,5744811.844,998140.1344214999,2872494.689504
180890,1,1,0,1,-36.90989,174.685797,2,1,1750178.499,5913796.698,875070.794555,2956985.6918985
187838,1,1,0,0,-40.623516,175.284152,2,1,1793197.477,5500526.812,896578.4267419999,2750351.048076
183649,1,1,0,0,-37.393211,175.839003,2,1,1851323.85,5857722.974,925643.2283945001,2928949.4065015004
182735,1,1,0,1,-37.660023,175.521991,2,1,1822460.761,5828912.592,911211.5504884999,2914544.0569955
180530,1,1,0,1,-41.251426,172.128479,2,1,1526982.612,5432965.476,763470.680287,2716568.8022395
184900,1,1,0,0,-43.73745,170.100913,1,1,1366541.235,5153202.164,683248.7487750001,2576686.1324565
185908,1,1,0,0,-43.52414449,172.3662733,4,1,1548787.158,5180782.125,774371.816927755,2590477.24563665
182655,1,1,0,1,-43.540331,172.604632,2,1,1568058.01,5179103.603,784007.2348345,2589638.1038160003
182862,1,1,0,1,-43.156522,172.730383,2,1,1578079.822,5221768.186,789018.332739,2610970.4581915
181749,1,1,0,1,-43.38363038,172.6576248,4,1,1572267.795,5196525.355,786112.20568481,2598349.0063124
190187,1,1,0,0,-42.812788,173.273014,2,1,1622320.368,5259938.297,811138.777606,2630055.785007
181816,1,1,0,1,-37.203677,175.873856,2,1,1855049.752,5878663.233,927506.2741615,2939419.553428
189744,1,1,0,0,-43.507493,172.73126,2,1,1578276.578,5182791.387,789116.5352535,2591482.05913
186527,1,1,0,0,-43.208364,171.715379,2,1,1495646.604,5215245.304,747801.697818,2607708.5096894996
181492,1,1,0,1,-43.33777,171.929037,3,1,1513186.946,5201118.449,756571.804115,2600645.1890185
180392,1,1,0,1,-37.7185873,175.2663418,4,1,1799749.934,5822989.948,899856.1077063499,2911582.6071709
182323,1,1,0,1,-39.525678,176.861749,2,1,1931955.351,5617760.139,965957.912661,2808968.5003745
192078,1,1,0,0,-45.03624,169.196961,2,1,1300451.42,5005984.545,650203.1918799999,2503076.8709805
184287,1,1,0,0,-44.734921,171.045541,2,1,1445249.794,5044637.783,722602.5295395,2522404.4142704997
181320,1,1,0,1,-41.31611988,174.7941653,4,1,1750172.009,5424597.069,875065.3464400601,2712385.93158265
186731,1,1,0,0,-36.759005,175.49873,2,1,1823047.099,5928949.722,911505.1699974999,2964562.610365
187327,1,1,0,0,-37.978411,175.758459,4,1,1842279.24,5792989.842,921120.6307945,2896582.8002295
181812,1,1,0,1,-37.000794,175.850207,2,1,1853626.66,5901241.196,926794.829603,2950708.5231035003
189187,1,1,0,0,-39.174447,176.624938,3,1,1913160.105,5657602.231,956560.4652765,2828889.427969
182835,1,1,0,1,-41.308936,174.785277,2,1,1749444.436,5425409.99,874701.563532,2712792.3876385
181097,1,1,0,1,-45.542158,169.316024,2,1,1312401.168,4950215.873,656177.8129210001,2475192.5945119997
188293,1,1,0,0,-40.452043,175.842403,4,1,1841035.011,5518187.63,920497.2794785,2759181.7362015
190563,1,1,0,0,-39.417303,175.400028,2,1,1806608.191,5634164.661,903284.3868485,2817170.030514
189161,1,1,0,0,-38.008473,175.328916,2,1,1804462.814,5790685.266,902212.4027635,2895430.297458
192004,1,1,0,0,-41.334271,174.773264,2,1,1748381.295,5422617.853,874169.9803645,2711396.313132
189349,1,1,0,0,-45.94324,169.261463,2,1,1310227.15,4905460.14,655090.60338,2452814.7007315
180099,1,1,0,1,-41.509526,173.923111,2,1,1677034.522,5404266.914,838496.5062370001,2702220.4185555
191548,1,1,0,0,-41.460704,173.961785,2,1,1680322.219,5409651.986,840140.379148,2704912.9738924997
191168,1,1,0,0,-45.324121,170.816989,2,1,1428918.557,4978724.701,714436.6164395,2489447.7589945
189666,1,1,0,0,-40.359871,175.612479,2,1,1821837.906,5529022.971,910898.7730645,2764599.2917395
180443,1,1,0,1,-37.393211,175.839003,2,1,1851323.85,5857722.974,925643.2283945001,2928949.4065015004
190662,1,1,0,0,-43.517235,172.587829,2,1,1566687.777,5181662.025,783322.1298825,2590917.3064145003
183692,1,1,0,0,-39.177432,175.402147,2,1,1807498.019,5660784.583,903729.4207840001,2830479.9925734997
180004,1,1,0,1,-38.130411,178.314844,2,1,2065961.287,5766349.645,1032961.5782945,2883263.979922
187046,1,1,0,0,-45.324121,170.816989,2,1,1428918.557,4978724.701,714436.6164395,2489447.7589945
182836,1,1,0,1,-41.310593,174.777546,2,1,1748793.483,5425239.313,874376.0862035,2712707.045273
181917,1,1,0,1,-41.302333,174.824111,2,1,1752710.759,5426075.456,876334.7283335,2713125.1400555
180076,1,1,0,1,-41.278398,174.757247,2,1,1747166.607,5428848.28,873562.6643010001,2714511.5186235
