OBJECTID,Is 24 Hours,Car Park Count,Has Carpark Cost,Has Tourist Attraction,Latitude,Longitude,Number Of Connectors,Has Charging Cost,x,y
182608,1,9,1,1,-36.74636,174.735002,4,1,1754891.692,5931860.833
182609,1,7,0,1,-36.759005,175.49873,2,1,1823047.099,5928949.722
182610,1,3,0,1,-43.73745,170.100913,1,1,1366541.235,5153202.164
182611,1,3,0,1,-45.4147023,167.710591,1,1,1186140.202,4957354.959
182612,0,4,0,1,-36.8816643,174.7839851,4,0,1758984.878,5916769.114
182613,1,7,0,1,-37.35455751,175.0803002,3,1,1784244.724,5863764.29
182614,1,9,0,1,-37.73171372,175.2225439,3,1,1795854.604,5821625.907
182615,1,4,0,1,-37.77855884,175.2987869,5,0,1802446.41,5816265.169
182616,1,9,0,1,-37.8767286,175.3245484,3,1,1804444.234,5805314.995
182617,1,0,0,1,-37.56470043,175.1583969,5,0,1790627.807,5840290.97
182618,1,3,0,1,-37.41256656,175.1274874,3,1,1788279.247,5857234.398
182619,1,10,0,1,-37.73193201,175.2735838,5,0,1800352.34,5821493.617
182620,1,0,0,1,-37.7883439,175.2812811,3,1,1800878.016,5815217.093
182621,1,10,0,1,-37.72241278,175.2575858,5,0,1798967.86,5822584.091
182622,1,2,0,1,-37.80028681,174.8703114,3,1,1764660.014,5814695.663
182623,1,8,0,1,-37.7936207,175.2863778,5,0,1801312.546,5814620.557
182624,1,6,0,1,-37.78172061,175.2742917,5,0,1800280.375,5815967.082
182625,1,0,0,1,-37.77801454,175.3088286,3,1,1803332.359,5816303.772
182626,1,6,0,1,-36.96488604,174.9126173,14,0,1770264.222,5907313.691
182627,1,7,0,1,-37.77815748,175.3080591,4,1,1803264.184,5816289.584
182628,1,0,0,1,-38.0080929,175.3249891,4,1,1804119.067,5790736.075
182629,1,8,0,1,-37.7881084,175.2583559,2,1,1798859.71,5815292.261
182630,1,4,0,1,-37.79317,175.280269,2,1,1800775.82,5814683.715
182631,1,9,0,1,-37.805253,175.39685,2,1,1811007.75,5813085.904
182632,1,1,0,1,-37.8940045,175.4714022,4,1,1817311.152,5803065.663
182633,0,2,1,1,-36.84877494,174.7581292,9,0,1756747.638,5920460.805
182634,1,8,0,1,-43.591442,172.3776,6,1,1549758.442,5173315.007
182635,1,1,0,1,-43.540028,172.62218,2,1,1569475.57,5179143.843
182636,1,5,0,1,-36.93105,174.91133,2,1,1770224.919,5911070.086
182637,1,0,0,1,-38.990505,175.81082,2,1,1843446.904,5680518.18
182638,1,7,0,1,-41.222412,174.86925,2,1,1756680.856,5434868.052
182639,1,5,0,1,-36.849667,174.77455,2,1,1758209.946,5920334.757
182640,1,0,0,1,-41.29433,174.77408,2,1,1748540.254,5427050.806
182641,1,9,0,1,-41.1088938,175.097346,2,1,1776104.789,5447034.834
182642,1,8,0,1,-37.75429253,175.2306405,4,1,1796508.444,5819103.391
182643,1,8,0,1,-37.69600804,176.1070025,2,1,1873942.877,5823368.345
182644,1,3,0,1,-36.39241569,174.6512969,4,1,1748092.777,5971259.115
182645,1,1,0,1,-38.32391951,175.1526705,4,1,1788174.701,5756051.804
182646,1,6,0,1,-36.77426455,174.5522723,4,1,1738527.148,5929045.165
182647,1,1,0,1,-37.2781761,175.0460801,4,1,1781397.178,5872305.681
182648,1,10,1,1,-41.14883782,174.8371254,2,1,1754160.567,5443093.729
182649,1,6,0,1,-40.95304511,175.6572847,2,1,1823651.676,5463054.731
182650,1,0,1,1,-41.29427436,174.7815621,1,1,1749166.868,5427044.151
182651,0,4,0,1,-43.59049,172.630201,4,0,1570148.524,5173542.474
182652,1,6,0,1,-40.72109802,175.6397384,2,0,1822951.108,5488851.114
182653,1,5,0,1,-44.303657,171.225107,4,1,1458426.711,5092867.904
182654,1,4,0,1,-43.557139,172.680089,4,0,1574161.406,5177263.135
182655,1,8,0,1,-43.540331,172.604632,2,1,1568058.01,5179103.603
182656,1,10,0,1,-43.53915549,172.6074866,2,1,1568288.02,5179235.245
182657,1,9,0,1,-43.30485776,172.5933352,4,1,1567017.749,5205250.081
182658,0,5,0,1,-41.12646825,174.8375131,2,1,1754245.521,5445576.511
182659,1,9,0,1,-41.29055552,174.8970403,2,1,1758845.116,5427252.116
182660,1,0,0,1,-41.28065437,174.9073127,1,1,1759729.448,5428332.521
182661,1,6,0,1,-42.52231104,172.8283791,4,1,1585903.587,5292215.261
182662,0,0,0,1,-36.84877494,174.7581292,4,1,1756747.638,5920460.805
182663,1,10,0,1,-36.93801979,174.6561285,2,0,1747481.077,5910722.151
182664,1,7,0,1,-43.55310269,172.5562826,4,0,1564159.4,5177665.486
182665,1,2,0,1,-43.38363038,172.6576248,4,1,1572267.795,5196525.355
182666,0,4,0,1,-43.53300448,172.6418037,2,1,1571057.629,5179930.882
182667,1,10,0,1,-43.623545,171.647953,4,0,1490917.293,5169049.762
182668,1,4,0,1,-41.24776407,174.9031888,12,1,1759464.101,5431991.67
182669,1,4,0,1,-41.32294784,173.2142306,4,0,1617928.898,5425369.524
182670,1,7,0,1,-43.52459977,172.6680243,6,1,1573172.538,5180873.087
182671,1,2,0,1,-37.78702527,175.2839907,4,1,1801120.224,5815357.594
182672,1,1,0,1,-36.84877494,174.7581292,8,1,1756747.642,5920460.805
182673,1,5,0,1,-41.18470134,174.9491019,4,1,1763468.25,5438907.733
182674,1,6,0,1,-43.90318226,171.7463065,4,1,1499322.612,5138116.537
182675,1,9,0,1,-43.50690707,172.5473825,4,1,1563412.592,5182792.043
182676,1,5,0,1,-40.9574405,175.6495904,2,1,1822989.213,5462586.404
182677,1,0,0,1,-40.29789962,175.7499664,4,1,1833727.898,5535548.78
182678,1,5,0,1,-41.17341318,174.9815131,6,1,1766215.223,5440099.541
182679,0,10,0,1,-44.41817254,171.2577899,4,1,1461304.173,5080203.873
182680,1,1,0,1,-43.60713882,172.3855524,8,1,1550413.268,5171576.491
182681,1,3,0,1,-43.89638233,171.7583053,4,1,1500274.825,5138886.336
182682,1,4,0,1,-37.7185873,175.2663418,4,1,1799749.934,5822989.948
182683,1,4,0,1,-40.38642863,175.6382388,4,1,1823937.54,5526009.676
182684,1,8,0,1,-41.28526633,174.7374182,4,1,1745490.651,5428119.169
182685,0,8,0,1,-41.31852788,173.220434,4,1,1618449.305,5425858.909
182686,1,2,0,1,-43.9089175,171.7426923,6,1,1499042.07,5137475.129
182687,1,1,0,1,-41.24779905,174.9032019,8,1,1759465.114,5431987.762
182688,1,2,0,1,-37.53913814,175.9338506,4,1,1859217.294,5841270.807
182689,1,9,0,1,-46.40549348,168.3428894,4,1,1242051.588,4850350.651
182690,1,0,0,1,-41.22468191,174.906075,4,1,1759762.159,5434549.0
182691,1,0,0,1,-37.81932391,175.3032959,4,1,1802732.034,5811731.661
182692,1,4,0,1,-41.1456647,174.839828,4,1,1754394.813,5443441.219
182693,1,8,0,1,-41.17901525,174.9597091,8,1,1764372.13,5439519.021
182694,1,7,0,1,-41.31611988,174.7941653,4,1,1750172.009,5424597.069
182695,1,5,0,1,-36.90045521,174.8266498,4,1,1762747.51,5914612.386
182696,1,1,0,1,-43.48139321,171.9403634,4,1,1514307.825,5185179.75
182697,0,6,0,1,-46.41278628,168.3477334,6,1,1242471.61,4849562.396
182698,1,7,0,1,-41.24956549,174.7866361,4,1,1749693.854,5431999.079
182699,1,5,0,1,-41.28381336,174.7784914,1,0,1748933.549,5428210.827
182700,1,2,0,1,-41.02582482,175.5292415,4,1,1812639.719,5455294.35
182701,1,3,0,1,-41.26184911,174.9461883,4,1,1763032.078,5430348.079
182702,1,7,0,1,-43.52414449,172.3662733,4,1,1548787.158,5180782.125
182703,1,8,0,1,-41.19415154,174.9320393,14,1,1762013.855,5437890.485
182704,1,1,0,1,-43.52414449,172.3662733,4,1,1548787.158,5180782.125
182705,1,9,0,1,-36.79874,174.645674,4,1,1746816.373,5926190.496
182706,1,3,0,1,-36.811613,174.712653,2,1,1752766.72,5924657.379
182707,1,9,0,1,-36.819835,174.608373,2,1,1743448.995,5923906.796
